"STATION","DATE","ACMC","ACMH","ACSC","ACSH","ADPT","ASLP","ASTP","AWBT","AWDR","AWND","DAEV","DAPR","DASF","DATN","DATX","DAWM","DWPR","EVAP","FMTM","FRGB","FRGT","FRTH","GAHT","MDEV","MDPR","MDSF","MDTN","MDTX","MDWM","MNPN","MXPN","PGTM","PRCP","PSUN","RHAV","RHMN","RHMX","SN01","SN02","SN03","SN11","SN12","SN13","SN14","SN21","SN22","SN23","SN31","SN32","SN33","SN34","SN35","SN36","SN51","SN52","SN53","SN54","SN55","SN56","SN57","SN61","SN72","SN81","SN82","SN83","SNOW","SNWD","SX01","SX02","SX03","SX11","SX12","SX13","SX14","SX15","SX17","SX21","SX22","SX23","SX31","SX32","SX33","SX34","SX35","SX36","SX51","SX52","SX53","SX54","SX55","SX56","SX57","SX61","SX72","SX81","SX82","SX83","TAVG","TAXN","THIC","TMAX","TMIN","TOBS","TSUN","WDF1","WDF2","WDF5","WDFG","WDFI","WDFM","WDMV","WESD","WESF","WSF1","WSF2","WSF5","WSFG","WSFI","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03","WV07","WV18","WV20","alt","station_info","station_name","time"
"USW00023174","2024-03-07",,,,,"9.4","1012.9","1001.0","11.1",,"3.6",,,,,,,,,,,,,,,,,,,,,,,"0.8",,"   78","   65","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.7",,,"16.7","8.9",,,,"  270","  280",,,,,,,,"9.8","12.1",,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-08",,,,,"10.0","1019.3","1007.5","11.7",,"3.4",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   78","   61","   90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.6",,,"20.6","9.4",,,,"  260","  260",,,,,,,,"9.8","13.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-09",,,,,"10.0","1019.3","1007.5","11.7",,"2.8",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   76","   50","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.1",,,"18.9","8.9",,,,"  280","  250",,,,,,,,"7.6","10.3",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-10",,,,,"10.0","1017.9","1006.1","11.7",,"3.1",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   77","   58","   92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.8",,,"17.8","9.4",,,,"  260","  250",,,,,,,,"7.6","9.8",,,,"    1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-11",,,,,"9.4","1018.3","1006.4","11.7",,"4.1",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   77","   62","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.6",,,"16.7","9.4",,,,"  240","  230",,,,,,,,"7.6","11.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-12",,,,,"10.6","1019.3","1007.5","12.2",,"3.5",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   79","   67","   89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.9",,,"16.7","11.1",,,,"  260","  240",,,,,,,,"8.1","11.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-13",,,,,"7.8","1014.6","1002.4","11.7",,"4.4",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   62","   33","   93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.3",,,"18.9","12.2",,,,"  270","  330",,,,,,,,"9.4","13.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-14",,,,,"0.0","1009.5","997.6","9.4",,"4.3",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   37","   15","   83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.0",,,"21.1","11.1",,,,"   20","   10",,,,,,,,"11.6","16.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-15",,,,,"7.2","1010.2","998.6","11.1",,"3.3",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   60","   41","   80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.7",,,"20.6","12.8",,,,"  250","  150",,,,,,,,"7.6","11.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00023174","2024-03-16",,,,,"10.0","1016.6","1004.7","12.2",,"4.1",,,,,,,,,,,,,,,,,,,,,,,"0.0",,"   73","   56","   84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.9",,,"18.9","11.1",,,,"  240","  230",,,,,,,,"8.9","12.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
